Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,21.747505,21.747505,21.299871,21.389399,13120900,21.389399
2010-01-05,21.434162,21.628137,21.105899,21.54607,15594300,21.54607
2010-01-06,21.546072,21.6356,21.411784,21.471468,8833200,21.471468
2010-01-07,21.531146,21.799725,21.434158,21.725121,12058200,21.725121
2010-01-08,21.635596,21.814649,21.404319,21.620674,15609800,21.620674
2010-01-11,21.635598,21.650519,20.949227,21.008911,23670500,21.008911
2010-01-12,21.001446,21.150658,20.807472,20.874617,23075800,20.874617
2010-01-13,20.889542,21.076056,20.889542,20.986528,15639100,20.986528
2010-01-14,20.979059,21.217797,20.979059,21.113348,13208200,21.113348
2010-01-15,21.12082,21.404322,20.889543,21.314795,23013500,21.314795
2010-01-19,21.232727,21.598295,21.150662,21.54607,14170100,21.54607
2010-01-20,21.41178,21.516227,21.15066,21.381937,13256400,21.381937
2010-01-21,21.359562,21.680366,21.128285,21.247654,18900600,21.247654
2010-01-22,21.068592,21.299869,20.650802,20.680643,16696600,20.680643
2010-01-25,20.852241,20.852241,20.523976,20.606043,11098400,20.606043
2010-01-26,20.516514,20.85224,20.516514,20.688107,13275800,20.688107
2010-01-27,20.606041,20.829856,20.509053,20.770172,12821800,20.770172
2010-01-28,20.837315,20.852236,20.285234,20.397142,19430400,20.397142
2010-01-29,20.568735,20.956684,20.426984,20.896999,22453800,20.896999
2010-02-01,20.897,21.225264,20.822394,21.1805,17172100,21.1805
2010-02-02,21.1805,21.672896,21.113355,21.657976,19640800,21.657976
2010-02-03,21.590833,21.590833,21.083516,21.240187,19437300,21.240187
2010-02-04,21.068587,21.284944,20.770166,20.837311,19813600,20.837311
2010-02-05,20.77763,20.941762,20.538893,20.874617,20229400,20.874617
2010-02-08,21.284951,21.590833,21.240187,21.329714,26005400,21.329714
2010-02-09,21.538605,21.702736,21.314787,21.538605,18057700,21.538605
2010-02-10,21.516222,21.605748,21.187958,21.374472,14481500,21.374472
2010-02-11,21.419238,21.687818,21.29241,21.628134,14614200,21.628134
2010-02-12,21.449083,21.635597,21.299872,21.635597,15027700,21.635597
2010-02-16,21.725118,22.008619,21.583368,21.963856,13317200,21.963856
2010-02-17,22.202594,22.42641,22.195133,22.396568,21524600,22.396568
2010-02-18,22.396576,22.665155,22.284668,22.605471,16564800,22.605471
2010-02-19,22.538322,22.717376,22.381651,22.493559,18576300,22.493559
2010-02-22,22.680078,22.791986,22.530868,22.620394,16101000,22.620394
2010-02-23,22.79944,23.150087,22.642769,22.941191,35770100,22.941191
2010-02-24,22.963576,23.441051,22.933733,23.396288,22937500,23.396288
2010-02-25,23.179931,23.463433,23.120247,23.396288,15049200,23.396288
2010-02-26,23.396283,23.396283,23.090401,23.276915,13879200,23.276915
2010-03-01,23.306756,23.538033,23.194849,23.448507,14182000,23.448507
2010-03-02,23.418669,23.56042,23.329143,23.396288,15189500,23.396288
2010-03-03,23.448512,23.732012,23.366446,23.478354,13900900,23.478354
2010-03-04,23.530577,23.560418,23.351522,23.455971,13777600,23.455971
2010-03-05,23.538036,23.806617,23.493274,23.72455,18768700,23.72455
2010-03-08,23.635025,23.903606,23.635025,23.84392,11048000,23.84392
2010-03-09,23.825881,24.013782,23.803332,23.810848,15127700,23.810848
2010-03-10,23.743203,23.961168,23.637979,23.833395,10532400,23.833395
2010-03-11,23.735685,24.216713,23.690589,24.149069,15316800,24.149069
2010-03-12,24.224228,24.502321,24.141551,24.389582,14953600,24.389582
2010-03-15,24.419649,24.585,24.261809,24.569967,12049100,24.569967
2010-03-16,24.50984,24.660162,24.314421,24.464743,13690400,24.464743
2010-03-17,24.419649,24.532388,24.306907,24.442196,14730700,24.442196
2010-03-18,24.389589,24.472266,24.224234,24.352009,17763500,24.352009
2010-03-19,24.321938,24.479774,24.126519,24.321938,22430600,24.321938
2010-03-22,24.156582,24.645126,24.156582,24.554932,11737300,24.554932
